county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Orange,8/23/2020,388,58,446,5739,116,8,225
Ventura,8/23/2020,79,32,111,1315,25,11,38
Los Angeles,8/23/2020,1200,467,1667,19582,375,59,892
San Benito,8/23/2020,6,0,6,25,2,0,1
Merced,8/23/2020,30,1,31,253,13,0,1
San Joaquin,8/23/2020,133,27,160,1003,39,2,32
Butte,8/23/2020,21,0,21,451,7,0,11
Nevada,8/23/2020,3,2,5,132,0,0,4
Inyo,8/23/2020,0,0,0,29,0,0,4
Fresno,8/23/2020,246,27,273,1575,57,2,17
Placer,8/23/2020,47,15,62,733,15,1,28
Yolo,8/23/2020,7,0,7,96,5,0,6
Humboldt,8/23/2020,1,4,5,271,1,1,2
Solano,8/23/2020,43,2,45,546,15,0,5
Tuolumne,8/23/2020,1,0,1,84,0,0,6
San Luis Obispo,8/23/2020,15,1,16,451,5,1,20
Riverside,8/23/2020,224,116,340,3270,82,16,103
San Francisco,8/23/2020,92,17,109,1823,37,4,69
Contra Costa,8/23/2020,95,16,111,1450,27,2,61
Tulare,8/23/2020,51,6,57,682,12,0,15
Imperial,8/23/2020,33,1,34,259,10,0,5
Mariposa,8/23/2020,0,0,0,19,0,0,0
Lassen,8/23/2020,0,0,0,25,0,0,0
Calaveras,8/23/2020,5,2,7,33,2,0,5
El Dorado,8/23/2020,1,0,1,189,1,0,10
Stanislaus,8/23/2020,157,50,207,1303,53,3,16
Lake,8/23/2020,0,1,1,66,0,0,5
Alameda,8/23/2020,187,46,233,2419,64,6,97
Colusa,8/23/2020,1,0,1,48,0,0,0
Yuba,8/23/2020,18,1,19,265,4,0,14
San Mateo,8/23/2020,57,8,65,673,14,4,21
Plumas,8/23/2020,0,0,0,35,0,0,0
Shasta,8/23/2020,7,0,7,561,3,0,7
Siskiyou,8/23/2020,0,0,0,56,0,0,4
Del Norte,8/23/2020,0,0,0,51,0,0,2
Tehama,8/23/2020,1,0,1,59,1,0,3
Marin,8/23/2020,14,5,19,319,7,0,5
Madera,8/23/2020,27,17,44,274,9,0,4
Kings,8/23/2020,35,3,38,193,8,0,6
Mendocino,8/23/2020,3,0,3,150,1,0,5
Santa Clara,8/23/2020,154,15,169,3102,42,0,99
Amador,8/23/2020,3,0,3,51,0,0,2
San Bernardino,8/23/2020,356,71,427,3841,98,5,176
Mono,8/23/2020,0,0,0,18,0,0,1
Kern,8/23/2020,148,6,154,1296,53,0,42
Trinity,8/23/2020,0,0,0,25,0,0,0
Glenn,8/23/2020,0,2,2,47,0,0,0
Trinity,8/24/2020,0,0,0,25,0,0,0
Riverside,8/24/2020,222,96,318,3309,79,15,94
Butte,8/24/2020,24,0,24,451,8,0,10
Lassen,8/24/2020,0,0,0,25,0,0,0
Modoc,8/24/2020,0,0,0,41,0,0,0
Siskiyou,8/24/2020,0,0,0,56,0,0,4
Inyo,8/24/2020,0,0,0,29,0,0,4
Del Norte,8/24/2020,0,2,2,51,0,1,1
San Diego,8/24/2020,228,81,309,6610,83,16,302
San Benito,8/24/2020,7,0,7,25,2,0,1
Yuba,8/24/2020,17,1,18,265,3,0,18
Los Angeles,8/24/2020,1186,450,1636,19226,373,53,917
Fresno,8/24/2020,244,28,272,1590,54,0,20
Stanislaus,8/24/2020,161,52,213,1294,41,3,16
Tuolumne,8/24/2020,1,1,2,84,0,0,6
Merced,8/24/2020,29,1,30,253,12,0,2
Kings,8/24/2020,33,2,35,193,4,1,10
San Luis Obispo,8/24/2020,11,2,13,451,5,0,21
San Mateo,8/24/2020,61,9,70,683,13,1,22
Kern,8/24/2020,154,7,161,1302,56,0,40
Contra Costa,8/24/2020,91,19,110,1452,29,2,58
Santa Cruz,8/24/2020,11,10,21,276,1,1,9
Marin,8/24/2020,13,4,17,314,5,0,4
Mendocino,8/24/2020,2,0,2,150,1,0,8
Alameda,8/24/2020,179,48,227,2396,69,7,92
San Francisco,8/24/2020,95,22,117,1806,35,3,75
Sutter,8/24/2020,0,0,0,0,0,0,0
Humboldt,8/24/2020,1,4,5,271,1,1,2
El Dorado,8/24/2020,1,0,1,189,1,0,9
Mariposa,8/24/2020,0,0,0,19,0,0,0
Colusa,8/24/2020,1,0,1,48,0,0,0
Sonoma,8/24/2020,42,4,46,531,9,0,5
Santa Barbara,8/24/2020,54,4,58,666,23,1,45
Ventura,8/24/2020,76,25,101,1321,36,7,33
San Joaquin,8/24/2020,131,22,153,1003,39,4,28
Napa,8/24/2020,5,1,6,208,1,0,13
Mono,8/24/2020,0,0,0,17,0,0,2
Shasta,8/24/2020,7,0,7,561,3,0,5
Glenn,8/24/2020,0,2,2,47,0,0,0
Tulare,8/24/2020,49,8,57,686,12,0,16
Lake,8/24/2020,0,0,0,66,0,0,6
San Bernardino,8/24/2020,335,67,402,3914,109,5,184
Nevada,8/24/2020,3,2,5,127,0,0,3
Sacramento,8/24/2020,221,35,256,2458,64,3,111
Imperial,8/24/2020,33,0,33,259,9,0,4
Santa Clara,8/24/2020,147,16,163,3064,41,2,119
Monterey,8/24/2020,40,1,41,729,14,1,24
Placer,8/24/2020,44,28,72,737,15,6,27
Calaveras,8/24/2020,5,1,6,33,2,1,4
Madera,8/24/2020,24,6,30,274,7,2,8
Amador,8/24/2020,4,0,4,51,0,0,4
Solano,8/24/2020,39,2,41,538,12,1,7
Yolo,8/24/2020,8,0,8,96,4,0,8
Orange,8/24/2020,385,74,459,5748,113,15,242
Tehama,8/24/2020,0,0,0,59,0,0,4
Plumas,8/24/2020,0,0,0,35,0,0,0
Kern,8/25/2020,155,3,158,1308,58,0,41
Humboldt,8/25/2020,1,0,1,257,1,0,6
Tehama,8/25/2020,0,0,0,59,0,0,4
Kings,8/25/2020,34,1,35,193,4,0,9
Mono,8/25/2020,0,0,0,17,0,0,2
Ventura,8/25/2020,72,30,102,1318,36,6,41
Sacramento,8/25/2020,222,33,255,2475,58,4,111
Colusa,8/25/2020,1,3,4,48,0,0,0
Butte,8/25/2020,17,1,18,451,6,1,6
Trinity,8/25/2020,0,0,0,25,0,0,0
Napa,8/25/2020,5,1,6,208,1,0,13
San Joaquin,8/25/2020,131,22,153,1003,39,2,33
San Francisco,8/25/2020,89,19,108,1837,34,5,72
San Diego,8/25/2020,235,88,323,6631,84,16,273
Madera,8/25/2020,24,7,31,274,8,2,7
Merced,8/25/2020,25,0,25,253,9,0,7
Mariposa,8/25/2020,0,0,0,19,0,0,0
Calaveras,8/25/2020,4,4,8,33,3,1,4
Alameda,8/25/2020,179,50,229,2398,65,7,89
Marin,8/25/2020,15,4,19,314,3,0,6
Lake,8/25/2020,1,1,2,65,0,0,5
Shasta,8/25/2020,5,0,5,561,1,0,4
San Benito,8/25/2020,6,0,6,25,2,0,1
Monterey,8/25/2020,42,0,42,729,14,0,25
Tuolumne,8/25/2020,2,0,2,84,0,0,6
Lassen,8/25/2020,0,0,0,25,0,0,0
Stanislaus,8/25/2020,159,52,211,1294,37,5,19
San Luis Obispo,8/25/2020,12,1,13,451,5,0,18
Siskiyou,8/25/2020,0,0,0,56,0,0,5
San Bernardino,8/25/2020,321,59,380,3869,100,6,169
Placer,8/25/2020,41,26,67,737,16,4,26
Orange,8/25/2020,399,68,467,5809,113,9,194
Los Angeles,8/25/2020,1168,517,1685,19881,375,49,894
Contra Costa,8/25/2020,89,14,103,1452,32,2,51
Glenn,8/25/2020,0,2,2,47,0,0,0
Yuba,8/25/2020,20,0,20,265,4,0,14
Riverside,8/25/2020,225,84,309,3376,78,13,91
Fresno,8/25/2020,230,26,256,1593,53,1,16
Amador,8/25/2020,3,0,3,51,0,0,6
Inyo,8/25/2020,0,0,0,29,0,0,4
Modoc,8/25/2020,0,0,0,41,0,0,0
Plumas,8/25/2020,0,0,0,35,0,0,0
Santa Cruz,8/25/2020,8,9,17,276,1,0,8
Tulare,8/25/2020,51,5,56,686,12,0,11
Mendocino,8/25/2020,3,0,3,150,1,0,8
Santa Clara,8/25/2020,148,12,160,3068,44,0,115
Sonoma,8/25/2020,43,6,49,514,11,2,4
El Dorado,8/25/2020,1,1,2,189,1,1,8
Sutter,8/25/2020,0,0,0,0,0,0,0
Solano,8/25/2020,34,3,37,546,9,0,7
Del Norte,8/25/2020,0,0,0,51,0,0,4
San Mateo,8/25/2020,50,11,61,680,13,3,19
Nevada,8/25/2020,2,0,2,119,0,0,4
Imperial,8/25/2020,34,1,35,259,11,0,1
Yolo,8/25/2020,7,0,7,97,3,0,9
Santa Barbara,8/25/2020,52,8,60,666,22,1,42
Tulare,8/26/2020,61,6,67,686,12,0,10
Napa,8/26/2020,6,1,7,208,1,0,0
San Joaquin,8/26/2020,137,24,161,1008,38,0,76
Yolo,8/26/2020,7,0,7,97,4,0,7
Los Angeles,8/26/2020,1168,466,1634,20280,364,53,893
San Bernardino,8/26/2020,318,49,367,3893,102,4,159
Glenn,8/26/2020,0,2,2,47,0,0,0
San Mateo,8/26/2020,51,10,61,693,12,1,26
San Francisco,8/26/2020,87,12,99,1868,37,7,54
Contra Costa,8/26/2020,88,21,109,1483,34,1,57
San Diego,8/26/2020,228,88,316,6649,83,23,264
Madera,8/26/2020,23,12,35,274,9,0,6
Merced,8/26/2020,24,3,27,253,9,0,6
Fresno,8/26/2020,218,39,257,1584,49,3,15
Modoc,8/26/2020,0,0,0,41,0,0,0
Sacramento,8/26/2020,215,39,254,2480,59,6,111
Trinity,8/26/2020,0,0,0,25,0,0,0
Orange,8/26/2020,372,51,423,5810,112,4,214
Del Norte,8/26/2020,0,0,0,51,0,0,3
Yuba,8/26/2020,19,1,20,265,4,0,11
Sutter,8/26/2020,0,0,0,0,0,0,0
Shasta,8/26/2020,4,0,4,561,0,0,10
Butte,8/26/2020,20,1,21,451,8,1,6
Mariposa,8/26/2020,0,0,0,19,0,0,0
Tuolumne,8/26/2020,2,0,2,84,0,0,4
El Dorado,8/26/2020,1,1,2,189,1,1,9
Amador,8/26/2020,2,0,2,51,0,0,5
Plumas,8/26/2020,0,0,0,29,0,0,0
Monterey,8/26/2020,39,1,40,729,15,0,21
Santa Clara,8/26/2020,142,19,161,2987,46,3,105
Santa Cruz,8/26/2020,8,10,18,276,1,1,13
Ventura,8/26/2020,74,31,105,1321,31,3,45
Imperial,8/26/2020,31,2,33,259,12,0,9
San Luis Obispo,8/26/2020,13,5,18,451,5,2,19
Calaveras,8/26/2020,4,1,5,33,3,0,4
San Benito,8/26/2020,4,0,4,25,2,0,1
Nevada,8/26/2020,1,1,2,132,0,0,3
Colusa,8/26/2020,1,2,3,48,0,0,0
Lassen,8/26/2020,0,0,0,25,0,0,0
Kings,8/26/2020,34,1,35,193,3,0,10
Kern,8/26/2020,140,2,142,1317,50,0,43
Marin,8/26/2020,17,2,19,318,2,1,8
Lake,8/26/2020,1,1,2,65,0,1,4
Solano,8/26/2020,37,2,39,489,9,0,6
Sonoma,8/26/2020,39,4,43,533,9,1,5
Alameda,8/26/2020,190,48,238,2416,69,9,78
Santa Barbara,8/26/2020,40,3,43,666,21,0,42
Inyo,8/26/2020,0,0,0,29,0,0,4
Stanislaus,8/26/2020,159,31,190,1309,38,2,18
Mono,8/26/2020,0,0,0,17,0,0,2
Humboldt,8/26/2020,1,1,2,269,1,0,5
Mendocino,8/26/2020,3,0,3,150,1,0,3
Placer,8/26/2020,38,16,54,741,12,2,27
Riverside,8/26/2020,226,95,321,3376,81,14,97
Tehama,8/26/2020,0,0,0,59,0,0,0
Siskiyou,8/26/2020,0,0,0,56,0,0,5
Yolo,8/27/2020,6,0,6,96,2,0,10
Plumas,8/27/2020,0,0,0,35,0,0,0
Yuba,8/27/2020,18,3,21,265,4,0,9
Mariposa,8/27/2020,0,0,0,19,0,0,0
San Diego,8/27/2020,227,72,299,6664,79,16,274
Riverside,8/27/2020,223,87,310,3346,82,16,97
Shasta,8/27/2020,4,0,4,561,1,0,11
Solano,8/27/2020,33,2,35,546,9,0,6
Monterey,8/27/2020,38,1,39,729,15,0,21
Santa Barbara,8/27/2020,40,2,42,666,19,0,51
Glenn,8/27/2020,0,2,2,47,0,0,0
Fresno,8/27/2020,215,34,249,1604,46,2,10
Ventura,8/27/2020,78,24,102,1321,35,6,40
Sonoma,8/27/2020,40,4,44,546,11,0,6
Tulare,8/27/2020,51,3,54,686,15,0,12
Butte,8/27/2020,19,0,19,451,6,0,5
Tehama,8/27/2020,0,0,0,59,0,0,1
San Mateo,8/27/2020,52,8,60,696,14,1,33
Marin,8/27/2020,10,9,19,323,1,1,11
Lake,8/27/2020,1,1,2,65,0,0,2
Modoc,8/27/2020,0,0,0,41,0,0,0
Amador,8/27/2020,4,0,4,51,0,0,3
Nevada,8/27/2020,2,0,2,117,0,0,2
Inyo,8/27/2020,0,0,0,29,0,0,4
Kern,8/27/2020,147,3,150,1306,53,0,44
Siskiyou,8/27/2020,0,0,0,56,0,0,3
Napa,8/27/2020,5,1,6,208,1,0,12
Trinity,8/27/2020,0,0,0,25,0,0,0
Colusa,8/27/2020,10,0,10,48,0,0,0
Mono,8/27/2020,0,0,0,17,0,0,2
Santa Clara,8/27/2020,140,18,158,3003,44,2,97
Lassen,8/27/2020,0,0,0,25,0,0,0
Imperial,8/27/2020,32,1,33,259,12,0,9
Los Angeles,8/27/2020,1116,449,1565,20182,356,46,889
Sutter,8/27/2020,0,0,0,0,0,0,0
Tuolumne,8/27/2020,2,0,2,84,0,0,1
Stanislaus,8/27/2020,166,39,205,1304,39,3,15
El Dorado,8/27/2020,1,2,3,189,1,1,9
Merced,8/27/2020,22,4,26,254,10,0,2
San Bernardino,8/27/2020,306,55,361,3862,107,7,148
San Luis Obispo,8/27/2020,12,5,17,451,3,1,22
Alameda,8/27/2020,198,47,245,2445,67,20,77
Placer,8/27/2020,38,21,59,743,13,4,28
Sacramento,8/27/2020,207,30,237,2467,55,5,110
San Benito,8/27/2020,3,0,3,25,2,0,1
Calaveras,8/27/2020,3,1,4,33,2,1,4
Contra Costa,8/27/2020,99,22,121,1485,37,1,48
Kings,8/27/2020,33,0,33,193,4,0,8
Madera,8/27/2020,24,20,44,274,10,2,3
Orange,8/27/2020,351,49,400,5830,98,5,212
San Joaquin,8/27/2020,137,21,158,1009,38,1,40
Del Norte,8/27/2020,0,0,0,51,0,0,2
Humboldt,8/27/2020,1,2,3,264,1,1,3
Santa Cruz,8/27/2020,7,8,15,276,1,1,12
Mendocino,8/27/2020,5,0,5,150,0,0,3
San Francisco,8/27/2020,79,12,91,1848,36,5,53
Tuolumne,8/28/2020,2,0,2,84,0,0,1
San Bernardino,8/28/2020,305,49,354,3851,111,4,159
Santa Barbara,8/28/2020,44,9,53,666,18,1,45
Riverside,8/28/2020,216,81,297,3322,72,15,92
Solano,8/28/2020,31,5,36,536,8,0,7
Yolo,8/28/2020,6,0,6,96,1,0,12
Alameda,8/28/2020,202,46,248,2456,63,7,89
San Luis Obispo,8/28/2020,14,2,16,451,3,0,19
San Diego,8/28/2020,223,59,282,6645,79,7,271
Humboldt,8/28/2020,1,1,2,268,1,1,3
Santa Clara,8/28/2020,139,15,154,3021,51,2,98
Modoc,8/28/2020,0,0,0,41,0,0,0
Madera,8/28/2020,25,12,37,274,8,0,2
Lassen,8/28/2020,0,0,0,25,0,0,0
Kern,8/28/2020,130,4,134,1302,49,0,45
Los Angeles,8/28/2020,1089,423,1512,19935,344,53,881
El Dorado,8/28/2020,0,0,0,189,0,0,12
Merced,8/28/2020,24,2,26,254,9,2,1
Santa Cruz,8/28/2020,9,6,15,276,1,1,12
Imperial,8/28/2020,32,0,32,259,9,0,11
Shasta,8/28/2020,3,0,3,561,1,0,8
Placer,8/28/2020,41,21,62,742,14,4,27
Ventura,8/28/2020,71,24,95,1309,33,3,45
Yuba,8/28/2020,18,2,20,265,4,0,7
Mendocino,8/28/2020,5,0,5,150,0,0,3
Del Norte,8/28/2020,0,0,0,51,0,0,3
Napa,8/28/2020,3,0,3,208,1,0,13
Siskiyou,8/28/2020,0,0,0,56,0,0,4
Contra Costa,8/28/2020,92,28,120,1461,35,3,42
Butte,8/28/2020,19,0,19,451,6,0,4
Mono,8/28/2020,0,0,0,17,0,0,2
Sacramento,8/28/2020,202,28,230,2489,57,7,108
Amador,8/28/2020,4,0,4,51,1,0,4
Lake,8/28/2020,1,2,3,65,0,1,2
Kings,8/28/2020,32,0,32,193,4,0,8
Marin,8/28/2020,14,1,15,321,1,0,12
San Francisco,8/28/2020,74,18,92,1868,27,4,58
Glenn,8/28/2020,0,0,0,47,0,0,0
Colusa,8/28/2020,11,1,12,48,0,0,0
San Joaquin,8/28/2020,124,20,144,1006,35,1,39
Inyo,8/28/2020,0,0,0,29,0,0,4
Fresno,8/28/2020,201,27,228,1600,43,1,13
San Mateo,8/28/2020,41,12,53,690,12,1,28
Mariposa,8/28/2020,0,0,0,19,0,0,0
Monterey,8/28/2020,31,0,31,729,17,0,20
Calaveras,8/28/2020,2,0,2,33,2,0,6
Trinity,8/28/2020,0,0,0,25,0,0,0
Plumas,8/28/2020,0,0,0,35,0,0,0
Sutter,8/28/2020,0,0,0,0,0,0,0
Nevada,8/28/2020,2,0,2,125,0,0,4
Sonoma,8/28/2020,38,9,47,556,11,1,8
San Benito,8/28/2020,2,0,2,25,2,0,1
Tehama,8/28/2020,1,0,1,59,0,0,4
Stanislaus,8/28/2020,156,34,190,1299,37,3,20
Orange,8/28/2020,341,46,387,5764,99,7,226
Tulare,8/28/2020,51,4,55,686,13,0,12
Nevada,8/29/2020,2,0,2,121,0,0,2
San Bernardino,8/29/2020,292,42,334,3828,103,5,167
Yolo,8/29/2020,5,0,5,96,2,0,6
Solano,8/29/2020,34,6,40,536,8,1,8
Stanislaus,8/29/2020,145,39,184,1301,36,3,27
Lassen,8/29/2020,0,0,0,25,0,0,0
Mariposa,8/29/2020,0,0,0,19,0,0,0
Santa Barbara,8/29/2020,43,5,48,666,18,2,52
San Luis Obispo,8/29/2020,12,3,15,451,4,2,17
Sutter,8/29/2020,0,0,0,0,0,0,0
Sonoma,8/29/2020,34,5,39,532,9,2,9
San Mateo,8/29/2020,41,12,53,697,12,4,27
Shasta,8/29/2020,4,0,4,561,1,0,9
Glenn,8/29/2020,0,0,0,47,0,0,0
Mendocino,8/29/2020,2,0,2,150,0,0,5
Monterey,8/29/2020,31,0,31,729,16,0,20
Orange,8/29/2020,329,48,377,5754,99,8,250
Tulare,8/29/2020,51,2,53,664,12,0,13
El Dorado,8/29/2020,1,0,1,189,1,0,11
San Francisco,8/29/2020,74,11,85,1839,26,3,52
Butte,8/29/2020,17,0,17,451,5,0,3
Plumas,8/29/2020,0,0,0,35,0,0,0
Yuba,8/29/2020,20,0,20,265,3,0,13
Contra Costa,8/29/2020,95,10,105,1451,32,0,45
Napa,8/29/2020,2,1,3,208,0,0,11
Kings,8/29/2020,32,0,32,193,3,0,9
Inyo,8/29/2020,0,0,0,29,0,0,4
Trinity,8/29/2020,0,0,0,25,0,0,0
Siskiyou,8/29/2020,0,0,0,56,0,0,4
Modoc,8/29/2020,0,0,0,41,0,0,0
Marin,8/29/2020,11,3,14,318,12,0,11
Humboldt,8/29/2020,1,1,2,268,1,1,2
Del Norte,8/29/2020,0,1,1,51,0,0,4
Amador,8/29/2020,1,0,1,51,0,0,3
Calaveras,8/29/2020,2,1,3,33,2,1,4
Tuolumne,8/29/2020,2,0,2,84,0,0,2
Santa Clara,8/29/2020,144,22,166,3019,50,2,102
San Benito,8/29/2020,2,0,2,25,2,0,1
Lake,8/29/2020,1,0,1,65,0,0,4
Kern,8/29/2020,118,6,124,1303,41,0,46
San Diego,8/29/2020,230,73,303,6631,80,12,294
Merced,8/29/2020,25,2,27,253,9,0,4
Alameda,8/29/2020,188,44,232,2426,58,6,76
Colusa,8/29/2020,10,1,11,48,0,0,0
Riverside,8/29/2020,217,88,305,3283,74,9,99
Madera,8/29/2020,27,9,36,274,8,1,3
Santa Cruz,8/29/2020,8,9,17,276,1,1,10
San Joaquin,8/29/2020,109,24,133,1007,33,3,43
Los Angeles,8/29/2020,1043,415,1458,19773,345,44,862
Imperial,8/29/2020,31,0,31,259,8,0,18
Ventura,8/29/2020,69,23,92,1300,32,5,45
Fresno,8/29/2020,196,29,225,1587,48,5,17
Placer,8/29/2020,38,23,61,739,12,4,28
Sacramento,8/29/2020,200,45,245,2472,60,6,100
Tehama,8/29/2020,1,0,1,59,0,0,2
Mono,8/29/2020,0,0,0,17,0,0,2
Tehama,8/30/2020,1,0,1,59,0,0,1
Los Angeles,8/30/2020,1057,386,1443,19714,345,53,934
Tulare,8/30/2020,49,3,52,664,12,0,17
Orange,8/30/2020,317,61,378,5701,98,9,244
Santa Barbara,8/30/2020,36,4,40,666,17,0,51
Mono,8/30/2020,0,0,0,17,0,0,2
Nevada,8/30/2020,2,2,4,108,0,2,2
Yolo,8/30/2020,5,0,5,96,3,0,7
Placer,8/30/2020,39,20,59,742,12,2,29
Glenn,8/30/2020,0,0,0,47,0,0,0
Madera,8/30/2020,28,9,37,274,11,0,4
El Dorado,8/30/2020,1,0,1,189,1,0,10
Mendocino,8/30/2020,2,0,2,150,0,0,6
Fresno,8/30/2020,190,34,224,1572,44,3,19
Mariposa,8/30/2020,0,0,0,19,0,0,0
San Luis Obispo,8/30/2020,10,3,13,451,4,0,20
Santa Clara,8/30/2020,139,25,164,3007,47,1,95
Alameda,8/30/2020,183,37,220,2414,53,3,89
Contra Costa,8/30/2020,91,14,105,1456,29,3,57
Kings,8/30/2020,32,0,32,193,3,0,9
Yuba,8/30/2020,13,0,13,265,2,0,13
Marin,8/30/2020,12,3,15,321,2,0,11
Humboldt,8/30/2020,1,1,2,268,1,1,2
San Benito,8/30/2020,2,0,2,25,2,0,1
Sonoma,8/30/2020,33,3,36,511,8,0,12
Ventura,8/30/2020,72,30,102,1287,28,6,45
San Joaquin,8/30/2020,102,14,116,1005,30,1,43
Sacramento,8/30/2020,196,31,227,2463,55,2,109
Inyo,8/30/2020,0,0,0,29,0,0,4
Siskiyou,8/30/2020,0,0,0,56,0,0,4
Amador,8/30/2020,1,0,1,51,0,0,2
Calaveras,8/30/2020,2,2,4,33,2,0,4
Stanislaus,8/30/2020,140,31,171,1305,37,2,24
Napa,8/30/2020,3,1,4,359,0,0,25
Colusa,8/30/2020,10,1,11,48,0,0,0
Monterey,8/30/2020,35,0,35,729,15,0,25
San Diego,8/30/2020,234,71,305,6638,81,15,300
Del Norte,8/30/2020,0,0,0,52,0,0,5
Butte,8/30/2020,18,0,18,451,4,0,6
San Bernardino,8/30/2020,283,54,337,3808,99,7,149
Trinity,8/30/2020,0,0,0,25,0,0,0
Lassen,8/30/2020,0,0,0,25,0,0,0
San Francisco,8/30/2020,70,10,80,1788,28,3,77
Kern,8/30/2020,115,4,119,1320,34,0,47
Merced,8/30/2020,25,1,26,253,10,0,3
Solano,8/30/2020,33,7,40,532,8,0,10
Tuolumne,8/30/2020,2,0,2,84,0,0,4
Santa Cruz,8/30/2020,8,6,14,276,2,0,8
Imperial,8/30/2020,28,0,28,259,8,0,16
Lake,8/30/2020,0,0,0,65,0,0,4
San Mateo,8/30/2020,45,12,57,688,14,5,28
Plumas,8/30/2020,0,0,0,35,0,0,0
Shasta,8/30/2020,3,0,3,561,1,0,11
Modoc,8/30/2020,0,0,0,41,0,0,0
Sutter,8/30/2020,0,0,0,0,0,0,0
Riverside,8/30/2020,210,71,281,3322,73,5,96
Yolo,8/31/2020,6,0,6,96,3,0,6
Madera,8/31/2020,29,12,41,274,11,2,5
Tuolumne,8/31/2020,1,0,1,84,0,0,3
Modoc,8/31/2020,0,0,0,41,0,0,0
Santa Barbara,8/31/2020,41,6,47,666,18,1,52
Mariposa,8/31/2020,0,0,0,19,0,0,0
Orange,8/31/2020,307,61,368,5714,93,10,254
Contra Costa,8/31/2020,81,28,109,1450,25,5,57
Glenn,8/31/2020,0,0,0,47,0,0,0
Monterey,8/31/2020,30,0,30,729,15,0,25
Humboldt,8/31/2020,1,0,1,265,1,0,4
Colusa,8/31/2020,10,1,11,48,0,0,0
Yuba,8/31/2020,12,0,12,265,2,0,11
Stanislaus,8/31/2020,143,46,189,1305,38,8,26
Mendocino,8/31/2020,2,0,2,150,0,0,6
Placer,8/31/2020,39,22,61,733,12,5,29
Del Norte,8/31/2020,0,0,0,52,0,0,3
Siskiyou,8/31/2020,0,0,0,56,0,0,4
Nevada,8/31/2020,2,4,6,109,0,2,4
San Bernardino,8/31/2020,292,63,355,3843,98,7,168
San Mateo,8/31/2020,41,14,55,686,13,4,35
San Francisco,8/31/2020,74,12,86,1809,26,3,79
Alameda,8/31/2020,173,46,219,2372,46,10,96
Santa Cruz,8/31/2020,9,4,13,276,2,0,9
Marin,8/31/2020,14,1,15,323,3,1,11
San Joaquin,8/31/2020,102,14,116,1005,33,1,40
Riverside,8/31/2020,216,54,270,3288,68,10,102
Merced,8/31/2020,27,1,28,253,11,0,4
Inyo,8/31/2020,0,0,0,29,0,0,4
San Benito,8/31/2020,2,0,2,25,2,0,1
Kern,8/31/2020,122,6,128,1309,42,0,46
San Luis Obispo,8/31/2020,10,4,14,451,4,0,21
Solano,8/31/2020,32,6,38,537,8,0,6
San Diego,8/31/2020,233,73,306,6632,84,11,307
Fresno,8/31/2020,184,25,209,1568,48,1,21
Los Angeles,8/31/2020,1048,415,1463,19746,321,62,954
Santa Clara,8/31/2020,134,26,160,3072,45,1,109
Sonoma,8/31/2020,31,10,41,507,9,2,12
Plumas,8/31/2020,0,0,0,35,0,0,0
Lassen,8/31/2020,0,0,0,25,0,0,0
Trinity,8/31/2020,0,0,0,25,0,0,0
Butte,8/31/2020,17,1,18,451,4,0,19
Kings,8/31/2020,39,1,40,193,9,1,2
Sutter,8/31/2020,0,0,0,0,0,0,0
Mono,8/31/2020,0,0,0,17,0,0,2
Tehama,8/31/2020,1,0,1,59,0,0,6
Napa,8/31/2020,1,0,1,351,0,0,21
Sacramento,8/31/2020,196,47,243,2464,52,7,121
Imperial,8/31/2020,27,0,27,259,8,0,15
Ventura,8/31/2020,65,15,80,1276,27,4,45
Shasta,8/31/2020,2,0,2,561,1,0,7
Tulare,8/31/2020,50,1,51,686,10,0,16
Calaveras,8/31/2020,2,1,3,33,2,0,4
Lake,8/31/2020,0,0,0,65,0,0,6
El Dorado,8/31/2020,0,0,0,189,0,0,13
Amador,8/31/2020,1,0,1,51,0,0,3
Tehama,9/1/2020,2,0,2,59,1,0,4
Lassen,9/1/2020,0,0,0,25,0,0,0
Humboldt,9/1/2020,1,2,3,263,1,0,4
Napa,9/1/2020,2,1,3,351,0,0,22
Stanislaus,9/1/2020,135,43,178,1307,38,6,23
Merced,9/1/2020,26,1,27,253,12,0,3
San Joaquin,9/1/2020,102,13,115,1004,31,3,42
Marin,9/1/2020,12,2,14,323,2,0,6
Mendocino,9/1/2020,4,0,4,150,2,0,4
Madera,9/1/2020,27,10,37,274,10,0,3
Orange,9/1/2020,295,64,359,5754,89,13,218
Yolo,9/1/2020,7,0,7,96,4,0,4
San Francisco,9/1/2020,77,16,93,1873,24,3,68
San Mateo,9/1/2020,37,15,52,685,12,3,32
Monterey,9/1/2020,28,1,29,729,16,1,21
Tuolumne,9/1/2020,2,0,2,84,0,0,4
Amador,9/1/2020,2,0,2,51,0,0,4
Nevada,9/1/2020,1,1,2,118,0,1,4
Modoc,9/1/2020,0,0,0,41,0,0,0
Solano,9/1/2020,31,7,38,539,6,0,7
San Luis Obispo,9/1/2020,9,4,13,451,4,1,22
Placer,9/1/2020,37,26,63,742,11,0,25
Kings,9/1/2020,38,0,38,193,9,0,2
Siskiyou,9/1/2020,0,0,0,56,0,0,8
Trinity,9/1/2020,0,0,0,25,0,0,0
